                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.33107,                0.23213,                0.83065,                0.97174,                0.99271,                0.98896,                 0.9593,                0.30953,                0.19586,                0.84597,              0.0001431,              0.0001431,              0.0001431
                     90,                0.32958,                0.23119,                 0.8328,                0.97638,                0.99076,                0.98902,                0.96064,                0.30684,                0.19491,                0.84648,              0.0001321,              0.0001321,              0.0001321
                     91,                0.28107,                0.18047,                0.79975,                0.97627,                0.99179,                0.98968,                0.96134,                0.30768,                0.19499,                 0.8463,              0.0001211,              0.0001211,              0.0001211
                     92,                0.28085,                 0.1799,                0.80275,                0.97857,                0.99137,                0.98936,                0.96066,                0.30823,                0.19342,                0.84804,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.2754,                0.17383,                0.80044,                0.97782,                0.99078,                0.98992,                0.96032,                 0.3091,                0.19233,                0.84546,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.27374,                0.17218,                0.80071,                0.97854,                0.99392,                0.99101,                0.96191,                 0.3071,                0.18961,                0.84453,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.26943,                0.17092,                0.80151,                0.97914,                0.99221,                0.99065,                0.96385,                0.30502,                 0.1883,                0.84477,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.26811,                0.17058,                0.79937,                0.97635,                0.99069,                0.98951,                0.96559,                0.30325,                0.19183,                 0.8429,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.26981,                0.17092,                 0.8013,                0.97839,                0.99424,                0.98981,                0.95202,                0.30107,                0.18528,                0.84365,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 0.2658,                0.16656,                0.79951,                0.97832,                0.99415,                0.98947,                0.96585,                 0.2997,                0.18692,                0.84231,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.26158,                0.16451,                0.79739,                0.97808,                0.99437,                0.98955,                0.96603,                 0.2988,                0.18399,                 0.8424,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.26165,                0.16429,                  0.797,                0.97803,                0.99402,                0.98995,                0.96531,                  0.298,                0.18091,                0.84333,             2.2109e-05,             2.2109e-05,             2.2109e-05
